Timestamp,Temperature (°C),Relative Humidity (%),PM.5+,PM2.5+,Time,PMfine,PM 2.5 Federal Standard,Source,Month,Location
2020-06-05 00:00:38.436257,26.89999962,99.90000153,845,52, 00:00,7.93,12,Air Emory,06,MSC
2020-06-05 00:01:38.246317,26.79999924,99.90000153,840,49, 00:01,7.91,12,Air Emory,06,MSC
2020-06-05 00:02:38.056311,26.79999924,99.90000153,778,54, 00:02,7.24,12,Air Emory,06,MSC
2020-06-05 00:03:37.866290,26.79999924,99.90000153,786,54, 00:03,7.32,12,Air Emory,06,MSC
2020-06-05 00:04:37.676370,26.79999924,99.90000153,797,61, 00:04,7.36,12,Air Emory,06,MSC
2020-06-05 00:05:37.486320,26.79999924,99.90000153,789,54, 00:05,7.35,12,Air Emory,06,MSC
2020-06-05 00:06:37.306301,26.79999924,99.90000153,780,62, 00:06,7.18,12,Air Emory,06,MSC
2020-06-05 00:07:37.116290,26.79999924,99.90000153,805,61, 00:07,7.44,12,Air Emory,06,MSC
2020-06-05 00:08:36.926370,,,807,60, 00:08,7.47,12,Air Emory,06,MSC
2020-06-05 00:09:36.736320,26.79999924,99.90000153,845,59, 00:09,7.86,12,Air Emory,06,MSC
2020-06-05 00:10:36.546267,26.79999924,99.90000153,821,63, 00:10,7.58,12,Air Emory,06,MSC
2020-06-05 00:11:36.356357,26.79999924,99.90000153,830,61, 00:11,7.69,12,Air Emory,06,MSC
2020-06-05 00:12:36.166323,,,837,61, 00:12,7.76,12,Air Emory,06,MSC
2020-06-05 00:13:35.976311,26.79999924,99.90000153,834,60, 00:13,7.74,12,Air Emory,06,MSC
2020-06-05 00:14:35.866302,26.79999924,99.90000153,799,56, 00:14,7.43,12,Air Emory,06,MSC
2020-06-05 00:15:35.596350,26.79999924,99.90000153,800,59, 00:15,7.41,12,Air Emory,06,MSC
2020-06-05 00:16:35.406313,26.79999924,99.90000153,757,56, 00:16,7.01,12,Air Emory,06,MSC
2020-06-05 00:17:35.216273,26.79999924,99.90000153,788,53, 00:17,7.35,12,Air Emory,06,MSC
2020-06-05 00:18:35.026298,26.79999924,99.90000153,816,62, 00:18,7.54,12,Air Emory,06,MSC
2020-06-05 00:19:34.846404,26.79999924,99.90000153,802,55, 00:19,7.47,12,Air Emory,06,MSC
2020-06-05 00:20:34.656319,26.79999924,99.90000153,800,52, 00:20,7.48,12,Air Emory,06,MSC
2020-06-05 00:21:34.466344,26.79999924,99.90000153,823,61, 00:21,7.62,12,Air Emory,06,MSC
2020-06-05 00:22:34.286296,26.79999924,99.90000153,814,54, 00:22,7.6,12,Air Emory,06,MSC
